sample	microcosmID	treatment	replicate	day	cil	wrm	strainID	count	count.correct	lograrecount	log10rab	sflogcount	rlogcount	PA
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1977	2657	2519	6.396929655216146	-0.9851875931262446	8.52686407239173	8.55737842786409	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1988	0	0	0	-4.386588133907789	0	-0.13484785192346768	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2159	1	1	0	-4.085558138243807	1.0998803708122205	0.42437102082333217	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2160	102	598	5.081404364984463	-1.6091613115184773	7.089473639207464	6.510642823089473	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2164	0	0	0	-4.386588133907789	0	0.3138580948026768	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2443	0	0	0	-4.386588133907789	0	0.23555305065169527	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2494	0	0	0	-4.386588133907789	0	-0.0774798870325406	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2659	4567	4368	7.020190708311925	-0.7462060891982203	9.077223463578239	9.08988463300263	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-2792	0	0	0	-4.386588133907789	0	-0.6172094573977035	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-3031	0	0	0	-4.386588133907789	0	-1.7166206171152902	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-3237	0	0	0	-4.386588133907789	0	-0.9138663150913	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-0006	0	0	0	-4.918748321997262	0	-1.0078001438568038	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-0097	0	0	0	-4.918748321997262	0	-0.5783099051039388	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-0105	4	5	0	-4.140597071613618	2.0235018744716156	1.9286032212551827	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-0262	0	0	0	-4.918748321997262	0	-1.3319708183955774	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-0403	19872	59507	8.391403185357937	-0.14417296765852647	11.266141511549433	11.246645689654894	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1279	1	0	0	-4.918748321997262	0	-0.8363828661944807	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1287	518	104	1.3862943611198906	-2.8975590229273234	4.923967168167101	4.966528406494243	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1292	945	208	2.772588722239781	-2.5986020358862074	5.61347260997388	5.670633883715774	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1299	0	0	0	-4.918748321997262	0	-1.0329197058740054	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1842	0	0	0	-4.918748321997262	0	0.1254571979643214	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1896	0	0	0	-4.918748321997262	0	-1.0840475520593906	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1923	4609	1916	4.844187086458591	-1.6361262091191986	7.830671876682518	7.820781962023359	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1972	36253	10415	6.679599185844383	-0.9010473507731445	9.523354961062404	9.477643261767177	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1977	13895	7197	6.2422232654551655	-1.0615364796803688	9.153804854295734	9.177170639159685	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-1988	0	0	0	-4.918748321997262	0	-0.23249559318404034	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2159	0	0	0	-4.918748321997262	0	-0.24490654896524708	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2160	0	0	0	-4.918748321997262	0	-0.9659635771116006	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2164	0	0	0	-4.918748321997262	0	0.19889041608865377	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2443	0	0	0	-4.918748321997262	0	0.23325909464924818	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2494	0	0	0	-4.918748321997262	0	-0.09264661347763281	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2659	6815	3561	5.476463551931511	-1.3670544068700365	8.450290025301506	8.471206688191987	1
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-2792	0	0	0	-4.918748321997262	0	-0.6242542315995985	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-3031	0	0	0	-4.918748321997262	0	-1.7681934476353567	0
HN4-d17	HN_C	HN	C	17	0	1	HAMBI-3237	0	0	0	-4.918748321997262	0	-0.9182003926988965	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-0006	0	0	0	-4.535129487435065	0	-1.2534376008452102	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-0097	0	0	0	-4.535129487435065	0	-0.7232522897211004	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-0105	809	1810	5.762051382780177	-1.2772110371210066	7.49102280725419	7.4348191111105155	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-0262	0	0	0	-4.535129487435065	0	-1.332245412983941	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-0403	2081	10456	7.517520850603031	-0.5157223794161816	9.24441036570605	9.250366230737429	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1279	0	0	0	-4.535129487435065	0	-1.0707407065877814	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1287	829	278	3.912023005428146	-2.0895252841614673	5.620632494896923	5.642631340268247	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1292	2420	893	5.19295685089021	-1.5837919686391473	6.785100170169229	6.826265745864171	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1299	1	0	0	-4.535129487435065	0	-1.2699013211543202	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1842	0	0	0	-4.535129487435065	0	0.12528908792056276	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1896	0	0	0	-4.535129487435065	0	-1.3253085099036785	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1923	3883	2708	6.118097198041348	-1.1023204824018966	7.893721237663307	7.882482665094236	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1972	7718	3720	6.480044561926653	-0.9644698174135308	8.211133052301738	8.188458080031126	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1977	11262	9787	7.480428306074208	-0.5444355267553134	9.178295970438029	9.201382836315702	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-1988	0	0	0	-4.535129487435065	0	-0.23766781744360288	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2159	0	0	0	-4.535129487435065	0	-0.25161828885375676	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2160	0	0	0	-4.535129487435065	0	-1.1906191149576744	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2164	0	0	0	-4.535129487435065	0	0.12195952152339579	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2443	0	0	0	-4.535129487435065	0	0.23216254000479183	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2494	0	0	0	-4.535129487435065	0	-0.09926198331483034	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2659	5260	4611	6.732210706467206	-0.8712401888124035	8.42580165115326	8.447041235980548	1
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-2792	0	0	0	-4.535129487435065	0	-0.6261127237422142	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-3031	0	0	0	-4.535129487435065	0	-1.4367845614783228	0
HN4-d21	HN_C	HN	C	21	0	1	HAMBI-3237	0	0	0	-4.535129487435065	0	-0.9211005509972737	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-0006	8	2	0	-4.046104787246039	1.2355489113485387	0.9538252273860691	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-0097	0	0	0	-4.523226041965701	0	-0.6158751475844131	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-0105	464	868	5.043425116919247	-1.5842062655170346	6.9660955234712585	6.917728312334617	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-0262	0	0	0	-4.523226041965701	0	-1.332041986069015	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-0403	3786	15912	7.974188669286011	-0.32147397918744947	9.873840361078264	9.871820789987508	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1279	0	0	0	-4.523226041965701	0	-0.8971222360125451	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1287	2381	668	4.919980925828125	-1.697799924197878	6.704474376282118	6.6928639205589535	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1292	2963	914	5.14166355650266	-1.5618049478992528	7.017686903064953	7.055553625814	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1299	1	0	0	-4.523226041965701	0	-1.09433908892703	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1842	0	0	0	-4.523226041965701	0	0.12540905371596658	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1896	0	0	0	-4.523226041965701	0	-1.1465760278149826	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1923	2834	1653	5.69035945432406	-1.3046905367491732	7.609802824884838	7.604678968935657	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1972	5949	2399	6.093569770045136	-1.1430148002540952	7.982108874279297	7.963462610996668	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1977	7005	5092	6.814542897259958	-0.816252365789523	8.734546936349524	8.762688798354823	1
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-1988	0	0	0	-4.523226041965701	0	-0.23399235262687326	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2159	0	0	0	-4.523226041965701	0	-0.24680467896244138	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2160	0	0	0	-4.523226041965701	0	-1.024188366058334	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2164	0	0	0	-4.523226041965701	0	0.17895195767142624	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2443	0	0	0	-4.523226041965701	0	0.23294596323201863	0
HN4-d29	HN_C	HN	C	29	0	1	HAMBI-2494	0	0	0	-4.523226041965701	0	-0.09451772970446895	0
