sample	strainID	genus	species	count
H3-d21	HAMBI-2792	Moraxella	canis	0
H3-d21	HAMBI-3031	Niabella	yanshanensis	0
H3-d21	HAMBI-3237	Microvirga	lotononidis	0
H3-d29	HAMBI-0006	Pseudomonas	putida	0
H3-d29	HAMBI-0097	Acinetobacter	lwoffii	0
H3-d29	HAMBI-0105	Agrobacterium	tumefaciens	0
H3-d29	HAMBI-0262	Brevundimonas	bullata	0
H3-d29	HAMBI-0403	Comamonas	testosteroni	391
H3-d29	HAMBI-1279	Hafnia	alvei	13
H3-d29	HAMBI-1287	Citrobacter	koseri	291
H3-d29	HAMBI-1292	Morganella	morganii	16863
H3-d29	HAMBI-1299	Kluyvera	intermedia	0
H3-d29	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d29	HAMBI-1923	Myroides	odoratus	2264
H3-d29	HAMBI-1972	Aeromonas	caviae	18
H3-d29	HAMBI-1977	Pseudomonas	chlororaphis	7066
H3-d29	HAMBI-1988	Chitinophaga	sancti	0
H3-d29	HAMBI-2159	Paraburkholderia	caryophylli	0
H3-d29	HAMBI-2160	Bordetella	avium	0
H3-d29	HAMBI-2164	Cupriavidus	necator	0
H3-d29	HAMBI-2443	Paracoccus	denitrificans	0
H3-d29	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d29	HAMBI-2659	Stenotrophomonas	maltophilia	5294
H3-d29	HAMBI-2792	Moraxella	canis	0
H3-d29	HAMBI-3031	Niabella	yanshanensis	0
H3-d29	HAMBI-3237	Microvirga	lotononidis	0
H3-d45	HAMBI-0006	Pseudomonas	putida	0
H3-d45	HAMBI-0097	Acinetobacter	lwoffii	0
H3-d45	HAMBI-0105	Agrobacterium	tumefaciens	2
H3-d45	HAMBI-0262	Brevundimonas	bullata	0
H3-d45	HAMBI-0403	Comamonas	testosteroni	291
H3-d45	HAMBI-1279	Hafnia	alvei	47
H3-d45	HAMBI-1287	Citrobacter	koseri	430
H3-d45	HAMBI-1292	Morganella	morganii	21563
H3-d45	HAMBI-1299	Kluyvera	intermedia	0
H3-d45	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d45	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d45	HAMBI-1923	Myroides	odoratus	2734
H3-d45	HAMBI-1972	Aeromonas	caviae	86
H3-d45	HAMBI-1977	Pseudomonas	chlororaphis	6011
H3-d45	HAMBI-1988	Chitinophaga	sancti	0
H3-d45	HAMBI-2159	Paraburkholderia	caryophylli	0
H3-d45	HAMBI-2160	Bordetella	avium	0
H3-d45	HAMBI-2164	Cupriavidus	necator	0
H3-d45	HAMBI-2443	Paracoccus	denitrificans	0
H3-d45	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d45	HAMBI-2659	Stenotrophomonas	maltophilia	10545
H3-d45	HAMBI-2792	Moraxella	canis	0
H3-d45	HAMBI-3031	Niabella	yanshanensis	0
H3-d45	HAMBI-3237	Microvirga	lotononidis	0
H3-d5	HAMBI-0006	Pseudomonas	putida	18193
H3-d5	HAMBI-0097	Acinetobacter	lwoffii	3347
H3-d5	HAMBI-0105	Agrobacterium	tumefaciens	13
H3-d5	HAMBI-0262	Brevundimonas	bullata	0
H3-d5	HAMBI-0403	Comamonas	testosteroni	1466
H3-d5	HAMBI-1279	Hafnia	alvei	4112
H3-d5	HAMBI-1287	Citrobacter	koseri	16478
H3-d5	HAMBI-1292	Morganella	morganii	16410
H3-d5	HAMBI-1299	Kluyvera	intermedia	6178
H3-d5	HAMBI-1842	Sphingobium	yanoikuyae	51
H3-d5	HAMBI-1896	Sphingobacterium	spiritivorum	2
H3-d5	HAMBI-1923	Myroides	odoratus	458
H3-d5	HAMBI-1972	Aeromonas	caviae	52194
H3-d5	HAMBI-1977	Pseudomonas	chlororaphis	6745
H3-d5	HAMBI-1988	Chitinophaga	sancti	2
H3-d5	HAMBI-2159	Paraburkholderia	caryophylli	55
H3-d5	HAMBI-2160	Bordetella	avium	20
H3-d5	HAMBI-2164	Cupriavidus	necator	0
H3-d5	HAMBI-2443	Paracoccus	denitrificans	8
H3-d5	HAMBI-2494	Paraburkholderia	kururiensis	21
H3-d5	HAMBI-2659	Stenotrophomonas	maltophilia	1477
H3-d5	HAMBI-2792	Moraxella	canis	61
H3-d5	HAMBI-3031	Niabella	yanshanensis	0
H3-d5	HAMBI-3237	Microvirga	lotononidis	9
H3-d61	HAMBI-0006	Pseudomonas	putida	2
H3-d61	HAMBI-0097	Acinetobacter	lwoffii	0
H3-d61	HAMBI-0105	Agrobacterium	tumefaciens	0
H3-d61	HAMBI-0262	Brevundimonas	bullata	0
H3-d61	HAMBI-0403	Comamonas	testosteroni	3
